,coords,geometry,net,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,plz
104,"[[10.852020335037539, 49.15944125454843], [10.852003957538926, 49.15939989126335]]","LINESTRING (10.852020335037539 49.15944125454843, 10.852003957538926 49.15939989126335)",8,Line to 2150,NYY 4x70 SE,63,64,0.004751925725883,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
105,"[[10.852026801796056, 49.15945758708194], [10.852020335037539, 49.15944125454843]]","LINESTRING (10.852026801796056 49.15945758708194, 10.852020335037539 49.15944125454843)",8,Line to 2106,NYY 4x70 SE,62,63,0.001876325587226,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
106,"[[10.852033118213182, 49.15947353990012], [10.852026801796056, 49.15945758708194]]","LINESTRING (10.852033118213182 49.15947353990012, 10.852026801796056 49.15945758708194)",8,Line to 2108,NYY 4x70 SE,60,62,0.001832702916699,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
107,"[[10.852070899656352, 49.15956896093406], [10.852033118213182, 49.15947353990012]]","LINESTRING (10.852070899656352 49.15956896093406, 10.852033118213182 49.15947353990012)",8,Line to 1465,NYY 4x70 SE,58,60,0.010962227657247,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
108,"[[10.852075172675658, 49.159579752872006], [10.852070899656352, 49.15956896093406]]","LINESTRING (10.852075172675658 49.159579752872006, 10.852070899656352 49.15956896093406)",8,Line to 2110,NYY 4x70 SE,57,58,0.001239807273225,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
109,"[[10.85207781892378, 49.15958643623401], [10.852075172675658, 49.159579752872006]]","LINESTRING (10.85207781892378 49.15958643623401, 10.852075172675658 49.159579752872006)",8,Line to 1854,NYY 4x70 SE,54,57,0.000767802873011,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
110,"[[10.852082149989851, 49.15959737476664], [10.85207781892378, 49.15958643623401]]","LINESTRING (10.852082149989851 49.15959737476664, 10.85207781892378 49.15958643623401)",8,Line to 2112,NYY 4x70 SE,53,54,0.001256648508364,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
111,"[[10.852112107152843, 49.159673034382685], [10.852082149989851, 49.15959737476664]]","LINESTRING (10.852112107152843 49.159673034382685, 10.852082149989851 49.15959737476664)",8,Line to 1315,NYY 4x70 SE,48,53,0.008691984047394,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
112,"[[10.852144678231502, 49.15975529540831], [10.852112107152843, 49.159673034382685]]","LINESTRING (10.852144678231502 49.15975529540831, 10.852112107152843 49.159673034382685)",8,Line to 1297,NYY 4x70 SE,45,48,0.009450373406174,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
113,"[[10.850263400890771, 49.16111906629231], [10.850263400890771, 49.16116406629231], [10.850145199999996, 49.161054096676814], [10.850114900000005, 49.16088219667676], [10.850534097688012, 49.160680199084524], [10.850563871725956, 49.160670688808075], [10.850710864444544, 49.160616072497064], [10.85132186246055, 49.16037081931938], [10.851428615848546, 49.160328256884384], [10.85146235754011, 49.160314804079974], [10.851577500000003, 49.16026889667662], [10.85183664444362, 49.160154285411764], [10.851951700000003, 49.160096396676536], [10.851976758734695, 49.16007852012697], [10.852163000000006, 49.15993799667649], [10.852144678231502, 49.15975529540831]]","LINESTRING (10.850263400890771 49.16111906629231, 10.850263400890771 49.16116406629231, 10.850145199999996 49.161054096676814, 10.850114900000005 49.16088219667676, 10.850534097688012 49.160680199084524, 10.850563871725956 49.160670688808075, 10.850710864444544 49.160616072497064, 10.85132186246055 49.16037081931938, 10.851428615848546 49.160328256884384, 10.85146235754011 49.160314804079974, 10.851577500000003 49.16026889667662, 10.85183664444362 49.160154285411764, 10.851951700000003 49.160096396676536, 10.851976758734695 49.16007852012697, 10.852163000000006 49.15993799667649, 10.852144678231502 49.15975529540831)",8,Line to 1313,NYY 4x70 SE,0,45,0.239768905961903,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
