bid,footprint_area,PV_cap_kW,use,free_walls,lat,lon,dist_to_heat_source,year_class,size_class,floors,storey_area,area_corr_factor,heated_area,window_area,dwellings,dwelling_size,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,U,V,C,Tau,Tset,act_start,act_end,hw_demand_day,hw_tank_cap,,,,,,,,,,,
146,162.78,16.278,3,4,48.202,11.54,0,5,3,6,976.69,0.84,820.42,138,4,205.11,8,1,2,2,1,626.94,69.74,123549946.3,177342.06,20,0,23,0.5,0.74,41402074.61,18158340.72,783478,50464.49,22132.98,954.97,9693029.22,154.18,51095103.83,62279.2,10633951
147,455.4,45.54,3,4,48.196,11.525,0,5,3,6,2732.42,0.84,2295.24,386.08,13,176.56,51,1,2,1,1,1847.66,195.09,345646257.6,169205.58,21,0,23,0.81,1.22,126063971.2,56645031.87,4945800,54924.09,24679.35,2154.81,15201750.5,243.06,141265721.7,61547.26,58730352
148,900,90,3,4,48.209,11.555,0,5,3,6,5400,0.84,4536,763,25,181.44,125,1,1,1,1,6245.82,385.56,683089680,103008.68,18,0,23,3.86,5.8,379228718.6,87213589.48,12699728,83604.21,19226.98,2799.76,73356473.81,1165.59,452585192.4,99776.28,128422917
149,426.6,42.66,3,4,48.209,11.551,0,5,3,6,2559.59,0.84,2150.05,361.66,12,179.17,39,2,1,2,1,2758.04,182.75,323782879.5,110100.46,21,0,23,1.34,2.02,188184038.4,60002858.04,4085594,87525.42,27907.66,1900.23,25064290.55,398.89,213248328.9,99182.96,44187355
150,710.79,71.079,3,4,48.211,11.56,0,5,3,6,4264.76,0.84,3582.4,602.6,20,179.12,68,2,1,1,2,3717.29,304.5,539484339,134140.1,19,0,23,1.9,2.84,247106648.8,67439459.98,6526392,68977.96,18825.22,1821.79,35593878.07,567.51,282700526.9,78913.72,68829098
151,123.52,12.352,3,4,48.21,11.554,0,6,0,3,370.57,0.84,311.28,33.59,2,155.64,10,1,1,1,1,399.51,52.92,54852805.17,121240.13,21,0,23,0.32,0.48,30456595.31,6557858.67,1047376,97843.08,21067.39,3364.74,6472307.25,103.14,36928902.56,118635.64,9109257
152,111.97,11.197,3,4,48.205,11.562,0,6,0,3,335.91,0.84,282.17,30.45,2,141.08,8,1,1,1,1,362.15,47.97,49723093.3,121240.13,22,0,23,0.17,0.26,28493570.01,6157457.27,832978,100980.15,21821.8,2952.04,3783838.36,60.15,32277408.36,114389.94,11006028
153,138.22,13.822,3,4,48.196,11.522,0,6,0,3,414.65,0.84,348.31,37.59,2,174.15,3,2,1,1,1,434.41,59.21,61378628.04,124342.02,20,0,23,0.23,0.34,32971729.99,6967417.53,313696,94662.03,20003.5,900.62,4792773.09,76.12,37764503.08,108422.1,5806794
154,900,90,3,4,48.193,11.55,0,6,0,3,2700,0.84,2268,244.75,2,1134,5,1,1,1,1,2910.92,385.56,399665328.5,121240.13,20,0,23,2.3,3.45,223128317.9,45333019.15,524130,98381.09,19988.1,231.1,43739357.15,694.59,266867675.1,117666.52,5559590
155,191.09,19.109,3,4,48.217,11.544,0,6,0,3,573.27,0.84,481.54,51.97,2,240.77,1,1,2,2,1,405.74,81.86,84857272.66,174028.28,21,0,23,0.39,0.59,32505334.99,9758830.9,221618,67502.88,20265.88,460.23,7669285.6,122.45,40174620.59,83429.46,4668669
156,88.52,8.852,3,4,48.217,11.543,0,6,0,3,265.56,0.84,223.07,24.07,2,111.54,5,1,1,1,1,286.31,37.92,39309753.5,121240.13,22,0,23,0.14,0.21,22574219.41,4951104.49,520120,101197.92,22195.3,2331.64,3155964.84,50.33,25730184.25,115345.78,9541593
157,87.44,8.744,3,4,48.196,11.553,0,6,0,3,262.33,0.84,220.35,23.78,1,220.35,1,2,1,2,1,260.5,37.46,38830486.25,130319.06,22,0,23,0.06,0.09,19715072.91,4866872.29,112716,89471.63,22087.01,511.53,1766079.76,28.08,21481152.67,97486.51,3064302
158,195.11,19.511,3,4,48.224,11.521,0,6,0,3,585.33,0.84,491.67,53.06,2,245.84,2,1,1,1,1,631.05,83.58,86642479.06,121240.13,18,0,23,0.38,0.58,43654096.87,7516252.9,210370,88787.39,15287.19,427.87,7425036.45,118.3,51079133.32,103889.06,3789143
